population,households,median_income,median_house_value,total_bedrooms,total_rooms,latitude,longitude,housing_median_age
2781,1078,56000.0,142200.0,1179,1179,35.247883,-80.3504528,39.0
802,370,44593.0,114400.0,436,436,35.30254779999999,-80.2147063,41.0
934,303,93354.0,136400.0,319,319,35.30177929999999,-80.1834609,44.0
1710,692,45848.0,80300.0,741,741,35.2278882,-80.1583165,44.0
1037,472,42361.0,182600.0,785,785,35.188614799999996,-80.08040890000001,46.0
1218,561,38438.0,136100.0,610,610,35.3593474,-80.1803463,46.0
521,268,,105400.0,369,369,35.350469700000005,-80.1869034,57.0
1075,423,54188.0,105000.0,484,484,36.3452914,-80.0740983,35.0
1621,769,41771.0,86000.0,953,953,36.5022187,-80.07826429999999,34.0
913,330,41250.0,,427,427,36.4014376,-80.11917340000001,30.0
2137,946,35375.0,118500.0,1058,1058,36.427251,-80.3922429,26.0
1014,495,40819.0,126500.0,696,696,36.51096879999999,-80.3949215,53.0
2308,838,59932.0,175800.0,1006,1006,36.323294,-80.24688509999999,31.0
1900,875,40764.0,116900.0,1006,1006,36.3647275,-80.1684354,35.0
1118,459,48878.0,79000.0,459,459,36.303806200000004,-80.2233562,34.0
1187,469,23750.0,116800.0,567,567,36.2831826,-80.0759755,34.0
1185,555,,141500.0,627,627,36.3097308,-80.16527420000001,31.0
1351,631,45368.0,95100.0,681,681,36.263152500000004,-80.1668929,47.0
1481,603,39640.0,106400.0,736,736,36.329353499999996,-80.1198474,43.0
1558,625,47396.0,141700.0,866,866,36.3935052,-80.2662145,37.0
998,455,39306.0,124800.0,540,540,36.477481899999994,-80.2119358,36.0
1582,435,55104.0,113600.0,509,509,36.3032153,-80.4287241,27.0
2381,1058,50298.0,144700.0,1176,1176,36.3682536,-80.35584820000001,42.0
1274,578,46250.0,141500.0,626,626,36.274989399999995,-80.4199038,30.0
1132,606,41625.0,143700.0,683,683,36.2674815,-80.3464051,32.0
2886,971,79183.0,159200.0,1065,1065,36.2943206,-80.3660899,32.0
1151,474,36950.0,108700.0,474,474,36.3193889,-80.338592,29.0
504,244,46250.0,136500.0,244,244,36.312424,-80.3660963,33.0
1660,771,69313.0,159300.0,771,771,36.28139470000001,-80.3241155,35.0
1744,723,42875.0,100300.0,785,785,36.329801700000004,-80.32320159999999,28.0
1576,706,43824.0,81300.0,811,811,36.402982200000004,-80.07425740000001,28.0
992,419,47989.0,146600.0,542,542,36.4947945,-80.1446388,22.0
1107,494,46441.0,124700.0,682,682,36.4886781,-80.32426140000001,32.0
726,337,50066.0,122900.0,435,435,36.4865955,-80.25031159999999,41.0
1566,640,46731.0,152400.0,728,728,36.3655719,-80.4375514,38.0
1586,787,35154.0,105900.0,825,825,36.2666847,-80.38153940000001,37.0
2464,908,47034.0,140800.0,983,983,36.28983970000001,-80.39480970000001,37.0
1728,678,44409.0,119800.0,741,741,36.2823015,-80.3021211,36.0
694,316,48750.0,137500.0,342,342,36.452449,-80.8085722,21.0
681,372,38145.0,118800.0,487,487,36.416351399999996,-80.894334,40.0
